    8
         1   46  4.53e+01  9.20e+02  1.01e-03
         2   69  7.58e+01  1.71e+03  5.42e-04
         3   73  6.45e+01  1.57e+03  5.91e-04
         4   77  7.89e+01  1.96e+03  4.73e-04
         5   81  1.41e+02  4.06e+03  2.28e-04
         6   85  1.75e+02  5.11e+03  1.81e-04
         7   89  2.37e+02  7.52e+03  1.23e-04
         8   93  2.89e+02  9.40e+03  9.85e-05
