   92
            artery41   41   41   42        01  1.48e-01  1.47e-01    0    0  2.93e-02  2.91e-02  6.03e+04  0.00e+00  0.00e+00
            artery42   42   42   43        01  1.47e-01  1.47e-01    0    0  2.91e-02  2.90e-02  6.09e+04  0.00e+00  0.00e+00
            artery43   43   43   44        01  1.47e-01  1.46e-01    0    0  2.90e-02  2.88e-02  6.15e+04  0.00e+00  0.00e+00
            artery44   44   44   45        01  1.46e-01  1.46e-01    0    0  2.88e-02  2.86e-02  6.21e+04  0.00e+00  0.00e+00
            artery45   45   45   46        01  1.46e-01  1.46e-01    0    0  2.86e-02  2.85e-02  6.26e+04  0.00e+00  0.00e+00
            artery46   46   24   47        01  1.41e-01  1.41e-01  -30    0  3.20e-02  3.18e-02  5.13e+04  0.00e+00  0.00e+00
            artery47   47   47   48  1.01e+00  1.41e-01  1.40e-01  -25    0  3.18e-02  3.16e-02  5.18e+04  0.00e+00  0.00e+00
            artery48   48   48   49  1.01e+00  1.40e-01  1.40e-01  -20    0  3.16e-02  3.15e-02  5.23e+04  0.00e+00  0.00e+00
            artery49   49   49   50  1.01e+00  1.40e-01  1.40e-01  -15    0  3.15e-02  3.13e-02  5.28e+04  0.00e+00  0.00e+00
            artery50   50   50   51  1.01e+00  1.40e-01  1.39e-01  -10    0  3.13e-02  3.12e-02  5.33e+04  0.00e+00  0.00e+00
            artery51   51   51   52  1.01e+00  1.39e-01  1.39e-01   -5    0  3.12e-02  3.10e-02  5.38e+04  0.00e+00  0.00e+00
            artery52   52   52   53  1.01e+00  1.39e-01  1.38e-01    0    0  3.10e-02  3.09e-02  5.44e+04  0.00e+00  0.00e+00
            artery53   53   53   54  1.01e+00  1.31e-01  1.31e-01    0    0  3.09e-02  3.07e-02  5.49e+04  0.00e+00  0.00e+00
            artery54   54   54   55  1.01e+00  1.31e-01  1.30e-01    0    0  3.07e-02  3.05e-02  5.54e+04  0.00e+00  0.00e+00
            artery55   55   55   56  1.01e+00  1.30e-01  1.30e-01    0    0  3.05e-02  3.04e-02  5.59e+04  0.00e+00  0.00e+00
            artery56   56   56   57  1.01e+00  1.30e-01  1.30e-01    0    0  3.04e-02  3.02e-02  5.65e+04  0.00e+00  0.00e+00
            artery57   57   57   58  1.01e+00  1.30e-01  1.29e-01    0    0  3.02e-02  3.01e-02  5.70e+04  0.00e+00  0.00e+00
            artery58   58   58   59  1.01e+00  1.29e-01  1.29e-01    0    0  3.01e-02  2.99e-02  5.76e+04  0.00e+00  0.00e+00
            artery59   59   59   60  1.01e+00  1.29e-01  1.29e-01    0    0  2.99e-02  2.98e-02  5.81e+04  0.00e+00  0.00e+00
            artery60   60   60   61  1.01e+00  1.22e-01  1.21e-01    0    0  2.98e-02  2.96e-02  5.87e+04  0.00e+00  0.00e+00
            artery61   61   61   62  1.01e+00  1.21e-01  1.21e-01    0    0  2.96e-02  2.94e-02  5.93e+04  0.00e+00  0.00e+00
            artery62   62   62   63  1.01e+00  1.21e-01  1.21e-01    0    0  2.94e-02  2.93e-02  5.98e+04  0.00e+00  0.00e+00
            artery63   63   63   64  1.01e+00  1.21e-01  1.20e-01    0    0  2.93e-02  2.91e-02  6.04e+04  0.00e+00  0.00e+00
            artery64   64   64   65  1.01e+00  1.20e-01  1.20e-01    0    0  2.91e-02  2.90e-02  6.10e+04  0.00e+00  0.00e+00
            artery65   65   65   66  1.01e+00  1.20e-01  1.20e-01    0    0  2.90e-02  2.88e-02  6.16e+04  0.00e+00  0.00e+00
            artery66   66   66   67  1.01e+00  1.20e-01  1.19e-01    0    0  2.88e-02  2.86e-02  6.22e+04  0.00e+00  0.00e+00
            artery67   67   67   68  1.01e+00  1.19e-01  1.19e-01    0    0  2.86e-02  2.85e-02  6.28e+04  0.00e+00  0.00e+00
            artery68   68   68   69  1.01e+00  1.19e-01  1.19e-01    0    0  2.85e-02  2.83e-02  6.34e+04  0.00e+00  0.00e+00
            artery69   69    8   70  9.89e-01  1.22e-01  1.22e-01   30    0  3.45e-02  3.43e-02  4.42e+04  0.00e+00  0.00e+00
            artery70   70   70   71  9.89e-01  1.22e-01  1.22e-01   30    0  3.45e-02  3.43e-02  4.42e+04  0.00e+00  0.00e+00
            artery71   71   71   72  9.89e-01  1.22e-01  1.22e-01   30    0  3.45e-02  3.43e-02  4.42e+04  0.00e+00  0.00e+00
            artery72   72   72   73  9.89e-01  1.22e-01  1.22e-01   30    0  3.45e-02  3.43e-02  4.42e+04  0.00e+00  0.00e+00
            artery73   73   15   74  9.89e-01  1.22e-01  1.14e-01  -30    0  3.34e-02  3.32e-02  4.42e+04  0.00e+00  0.00e+00
            artery74   74   74   75  9.89e-01  1.22e-01  1.14e-01  -30    0  3.34e-02  3.32e-02  4.42e+04  0.00e+00  0.00e+00
            artery75   75   75   76  9.89e-01  1.22e-01  1.14e-01  -30    0  3.34e-02  3.32e-02  4.42e+04  0.00e+00  0.00e+00
            artery76   76   76   77  9.89e-01  1.22e-01  1.14e-01  -30    0  3.34e-02  3.32e-02  4.42e+04  0.00e+00  0.00e+00
            artery77   77   30   78        01  8.92e-02  8.92e-02   30    0  3.10e-02  3.09e-02  5.43e+04  0.00e+00  0.00e+00
            artery78   78   78   79        01  8.92e-02  8.92e-02   30    0  3.09e-02  3.07e-02  5.43e+04  0.00e+00  0.00e+00
            artery79   79   79   80        01  8.92e-02  8.92e-02   30    0  3.07e-02  3.05e-02  5.43e+04  0.00e+00  0.00e+00
            artery80   80   80   81        01  8.92e-02  8.92e-02   30    0  3.05e-02  3.04e-02  5.43e+04  0.00e+00  0.00e+00
            artery81   81   38   82        01  8.26e-02  8.26e-02   30    0  2.98e-02  2.96e-02  5.86e+04  0.00e+00  0.00e+00
            artery82   82   82   83        01  8.26e-02  8.26e-02   30    0  2.96e-02  2.94e-02  5.86e+04  0.00e+00  0.00e+00
            artery83   83   83   84        01  8.26e-02  8.26e-02   30    0  2.94e-02  2.93e-02  5.86e+04  0.00e+00  0.00e+00
            artery84   84   84   85        01  8.26e-02  8.26e-02   30    0  2.93e-02  2.91e-02  5.86e+04  0.00e+00  0.00e+00
            artery85   85   53   86  1.01e+00  7.27e-02  7.27e-02  -30    0  3.09e-02  3.07e-02  5.49e+04  0.00e+00  0.00e+00
            artery86   86   86   87  1.01e+00  7.27e-02  7.27e-02  -30    0  3.07e-02  3.05e-02  5.49e+04  0.00e+00  0.00e+00
            artery87   87   87   88  1.01e+00  7.27e-02  7.27e-02  -30    0  3.05e-02  3.04e-02  5.49e+04  0.00e+00  0.00e+00
            artery88   88   88   89  1.01e+00  7.27e-02  7.27e-02  -30    0  3.04e-02  3.02e-02  5.49e+04  0.00e+00  0.00e+00
            artery89   89   60   90  1.01e+00  6.75e-02  6.75e-02  -30    0  2.98e-02  2.96e-02  5.87e+04  0.00e+00  0.00e+00
            artery90   90   90   91  1.01e+00  6.75e-02  6.75e-02  -30    0  2.96e-02  2.94e-02  5.87e+04  0.00e+00  0.00e+00
            artery91   91   91   92  1.01e+00  6.75e-02  6.75e-02  -30    0  2.94e-02  2.93e-02  5.87e+04  0.00e+00  0.00e+00
            artery92   92   92   93  1.01e+00  6.75e-02  6.75e-02  -30    0  2.93e-02  2.91e-02  5.87e+04  0.00e+00  0.00e+00
